Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/01/04,BDSI,BDSI,S,CBOE,1
2021/01/04,BDX,BDX,S,CBOE,84
2021/01/04,BE,BE,S,CBOE,397
2021/01/04,BEAM,BEAM,S,CBOE,453
2021/01/04,BEAT,BEAT,S,CBOE,109
2021/01/04,BECN,BECN,S,CBOE,8
2021/01/04,BEKE,BEKE,S,CBOE,2438
2021/01/04,BEN,BEN,S,CBOE,9
2021/01/04,BEPC,BEPC,S,CBOE,9
2021/01/04,BEPC2,BEPC,S,CBOE,1
2021/01/04,BERY,BERY,S,CBOE,15
2021/01/04,BEST,BEST,S,CBOE,9
2021/01/04,BETZ,BETZ,S,CBOE,178
2021/01/04,BFB,BFB,S,CBOE,10
2021/01/04,BFOR,BFOR,S,CBOE,2
2021/01/04,BG,BG,S,CBOE,177
2021/01/04,BGCP,BGCP,S,CBOE,72
2021/01/04,BGFV,BGFV,S,CBOE,165
2021/01/04,BGNE,BGNE,S,CBOE,23
2021/01/04,BGS,BGS,S,CBOE,214
2021/01/04,BHC,BHC,S,CBOE,2847
2021/01/04,BHF,BHF,S,CBOE,77
2021/01/04,BHP,BHP,S,CBOE,589
2021/01/04,BHVN,BHVN,S,CBOE,3970
2021/01/04,BIB,BIB,S,CBOE,22
2021/01/04,BIDU,BIDU,S,CBOE,11748
2021/01/04,BIG,BIG,S,CBOE,480
2021/01/04,BIGC,BIGC,S,CBOE,1396
2021/01/04,BIIB,BIIB,S,CBOE,1009
2021/01/04,BILI,BILI,S,CBOE,4095
2021/01/04,BILL,BILL,S,CBOE,282
2021/01/04,BIO,BIO,S,CBOE,3
2021/01/04,BIOC,BIOC,S,CBOE,2
2021/01/04,BIP,BIP,S,CBOE,7
2021/01/04,BJ,BJ,S,CBOE,65
2021/01/04,BJK,BJK,S,CBOE,16
2021/01/04,BJRI,BJRI,S,CBOE,152
2021/01/04,BK,BK,S,CBOE,501
2021/01/04,BKCC,BKCC,S,CBOE,25
2021/01/04,BKD,BKD,S,CBOE,10
2021/01/04,BKE,BKE,S,CBOE,237
2021/01/04,BKEP,BKEP,S,CBOE,1
2021/01/04,BKNG,BKNG,S,CBOE,1363
2021/01/04,BKR,BKR,S,CBOE,25
2021/01/04,BKU,BKU,S,CBOE,16
2021/01/04,BL,BL,S,CBOE,61
2021/01/04,BLCN,BLCN,S,CBOE,25
2021/01/04,BLD,BLD,S,CBOE,9
2021/01/04,BLDP,BLDP,S,CBOE,717
2021/01/04,BLDR,BLDR,S,CBOE,9
2021/01/04,BLI,BLI,S,CBOE,50
2021/01/04,BLK,BLK,S,CBOE,272
2021/01/04,BLL,BLL,S,CBOE,236
2021/01/04,BLMN,BLMN,S,CBOE,154
